"","mean","0.025quant","0.975quant"
"as.factor(x1)1",0.98214006511641,0.911578571220194,1.05808592173071
"as.factor(x2)1",0.911162190338088,0.641023031091096,1.29466692933871
"as.factor(x3)0.5",1.04005408018259,1.03442158550439,1.04571374213593
"as.factor(x3)1",1.08061468020047,1.07528280005001,1.08597021252246
"as.factor(x3)2",1.05816399404888,0.961909708465992,1.16394194175504
"as.factor(x3)3",1.02710673907395,1.01969098661019,1.03457176276181
"x4",1.00628089680833,0.987132475432522,1.02578138160131
"x5",0.996977031725263,0.987187634637429,1.00685372240269
"x6",0.994812042121089,0.98441749816721,1.0053059467111
"x7",1.01069279959591,0.994548373055171,1.02708304994641
