"","mean","0.025quant","0.975quant"
"as.factor(x1)1",0.99798921753183,0.901333010750004,1.10490692534781
"as.factor(x2)1",0.909585585171778,0.60910793115244,1.35739244961939
"as.factor(x3)0.5",0.946908069174572,0.917939883881406,0.976802014867443
"as.factor(x3)1",1.02553721648793,0.997517220743617,1.05437940074535
"as.factor(x3)2",0.942416640815895,0.825042921423695,1.07640287338007
"as.factor(x3)3",0.784032719491192,0.751939050387256,0.817510184296205
"x4",1.01997628790947,0.993545008504297,1.04709087584744
"x5",0.99278266997419,0.979486709793045,1.00624326970521
"x6",0.993784562534228,0.979620281126554,1.00813838875265
"x7",1.00969456453554,0.98771625303943,1.03213661240027
