"","x"
"1",0.172935813052886
"2",0.0831746887248133
"3",0.098792660555099
"4",0.0845091759953552
"5",0.0957531809212089
"6",0.103894767176638
"7",0.0895571026015498
"8",0.127256547603126
"9",0.0824177297623598
"10",0.155028873388976
"11",0.14945706496576
"12",0.0861511858783816
"13",0.0881585056752016
"14",0.0613092897073328
"15",0.0576244258233203
"16",-0.0598528134799328
"17",0.0820257492632038
"18",-0.0320878931037466
"19",0.0246704414858244
"20",0.0442958482974515
"21",0.0606689601067549
"22",0.00846294106224792
"23",0.0474974101848752
"24",0.040490297066706
"25",0.0689758509878609
"26",0.0464099283868985
"27",0.0702726336674067
"28",0.0553985110348732
"29",0.0464299132302301
"30",-0.0367916638530166
"31",-0.0413107383318889
"32",-0.063866302453087
"33",-0.0391655149394254
"34",-0.00823859498385703
"35",-0.0910831459645681
"36",-0.0459817085245441
"37",-0.0248964487229127
"38",-0.0339834091609391
"39",-0.0900307700137207
"40",-0.117483124093965
"41",-0.0673682322214359
"42",-0.125890872065488
"43",-0.108603325650592
"44",-0.0894829930524449
"45",-0.077387547537989
"46",-0.01990910712533
"47",-0.0145737356779455
"48",-0.0817805483636446
"49",-0.0913351532867518
"50",-0.0997528337350964
"51",-0.100987859515164
"52",-0.132179530098249
"53",-0.115974502879811
"54",-0.0736074642943962
"55",-0.0968569497029546
"56",-0.0887308976539245
"57",-0.0504222512571915
"58",-0.0301195026214874
"59",-0.0857106597449976
"60",-0.0680910727328777
"61",-0.0534580909953818
"62",0.00798099976432819
"63",-0.0156022944668363
"64",0.0315088027553366
"65",0.0369685753749878
"66",0.0320281836581789
"67",0.0331727872437639
"68",0.0341141955919411
"69",0.081863978045038
"70",0.044683470170224
"71",0.0844624762074759
"72",0.0213127173362679
"73",0.0636922724853528
"74",0.0220599974501209
"75",0.0109127526990108
"76",0.0100988294227127
"77",0.0114510198661018
"78",0.0343530913576303
"79",-0.151174808988443
"80",-0.0462723427035201
"81",-0.158967623869062
"82",-0.0587519461372162
"83",-0.11593566296114
"84",-0.0659731568402866
"85",-0.0517230051366495
"86",-0.0368362223454486
"87",-0.0830562366682579
"88",0.0231869461950726
"89",0.0388827437225219
"90",0.0369399460962673
"91",0.048029823053108
"92",0.0583882222833331
"93",0.104592090964407
"94",0.0584980928548998
"95",0.0833579305167398
