"","mean","0.025quant","0.975quant"
"as.factor(x1)1",0.990217340343366,0.958412763574277,1.0230487687694
"as.factor(x2)1",1.14315186982627,0.802039708970419,1.62877391330138
"as.factor(x3)0.5",0.65354838918084,0.652479823436623,0.654617800994636
"as.factor(x3)1",0.683483076183997,0.682463759013662,0.684503049084835
"as.factor(x3)2",0.679151791362436,0.651569867009981,0.707876123335017
"as.factor(x3)3",0.61088479491448,0.608126811652663,0.613652422647897
"x4",1.00331415487077,0.993226945007946,1.01349504552274
"x5",1.00007538788797,0.99545433582683,1.00471391692089
"x6",0.995262842739014,0.990329145767154,1.00021686354449
"x7",1.00013817853293,0.998948226279982,1.00132852956988
