"","mean","0.025quant","0.975quant"
"as.factor(x1)1",0.999542153487703,0.950205962044297,1.05139436618233
"as.factor(x2)1",0.871022385032118,0.536228514671344,1.41409412899932
"as.factor(x3)0.5",0.645565001536039,0.640910630776194,0.650249133834554
"as.factor(x3)1",0.70835137509612,0.70360918776946,0.713121333175742
"as.factor(x3)2",0.66095341582343,0.619629765858346,0.704994933716278
"as.factor(x3)3",0.589191830292722,0.578368243433937,0.600205402874916
"x4",0.989803868277711,0.974414293820052,1.00542297193529
"x5",1.00901957030958,1.00179929503019,1.01628581480402
"x6",0.997061900805957,0.98940785727622,1.00476854523756
"x7",1.00116259794171,0.999316217552652,1.0030108383965
