"","mean","0.025quant","0.975quant"
"as.factor(x1)1",0.990570147953703,0.95849130927723,1.02369370312521
"as.factor(x2)1",1.13740771777007,0.796719136392619,1.62321219837858
"as.factor(x3)0.5",0.653939153169366,0.65289289475865,0.654986203772996
"as.factor(x3)1",0.686020700386192,0.685018932928524,0.687023081873586
"as.factor(x3)2",0.679055201782429,0.651251170839119,0.708020832761285
"as.factor(x3)3",0.6103163887866,0.607623811435009,0.613018137159549
"x4",1.00263547815121,0.992470835205764,1.01289537021872
"x5",1.00051531280271,0.995853477814927,1.0051949510038
"x6",0.995320616469762,0.990345285907627,1.00031664061134
"x7",1.000200053371,0.999000035926001,1.00140048254028
