"","x"
"1",0.985444245834651
"2",1.60272281243783
"3",1.53582045534783
"4",1.45762750991928
"5",1.99634720424489
"6",-0.801497777575706
"7",-1.51315112382308
"8",1.04038556810614
"9",1.21379243193644
"10",1.02473503991804
"11",0.04881553738188
"12",0.362042327848512
"13",1.75679535920081
"14",1.68638939015457
"15",-3.98729526108501
"16",-3.69217459100728
"17",-2.39681081198103
"18",-1.92200588109068
"19",-1.55493396857356
"20",-0.170144428118027
"21",-0.586974127617277
"22",-1.57117658958573
"23",-0.730842901408144
"24",-0.42465687730483
"25",-0.758097094001747
"26",-0.0780107181343503
"27",1.09929938603491
"28",0.97005755156892
"29",0.557149163634661
"30",1.16897062962251
"31",1.1669623313608
"32",0.764493109824278
"33",0.98052915324222
"34",-0.474074574797514
"35",-0.33675130401462
"36",-0.578282870523606
"37",-0.255429792495446
"38",2.45910312892356
"39",2.95778069831945
"40",2.84116609144645
"41",-1.98059671742507
"42",-2.51562715506377
"43",-0.761545382329502
"44",-0.712927747520524
"45",-1.06904485080569
"46",-0.855567841294662
"47",-0.921377388231248
"48",-5.18884807438006
"49",-3.31918287893593
"50",-5.03294803466964
"51",-2.99562114958237
"52",-3.00730355530426
"53",-6.34131829481628
"54",-1.20639340294604
"55",2.0391751250208
"56",1.73617283188387
"57",-0.55811926001488
"58",0.105882964959918
"59",1.38941632815687
"60",2.24163671272931
"61",2.30292001305205
"62",-0.0587391232546194
"63",-0.848516245083875
"64",-2.27889599123537
"65",-0.463134869424527
"66",0.959666724272717
"67",1.94599653914427
"68",1.86821079095164
"69",1.90256340772179
"70",1.61452865393363
"71",0.779353647406806
"72",1.29725616092315
"73",2.03495155491622
"74",2.63992565815624
"75",2.58887381154124
"76",2.18896491560828
"77",1.80153297766588
"78",0.323882208813174
"79",0.976813398712772
