"","x"
"1",0.145388812466727
"2",0.156203692474276
"3",0.0650631332950069
"4",0.03204059195047
"5",0.0423471160303337
"6",0.0793162877451726
"7",0.07465017088745
"8",0.09640797116166
"9",0.0735101926117312
"10",0.100242918355741
"11",0.133565793946829
"12",0.187215262509805
"13",0.154366620160269
"14",0.0932411579384136
"15",0.0900541139110844
"16",0.108857155164908
"17",0.141423699044892
"18",-0.0103966765668555
"19",-0.0199759888812721
"20",0.10046020760596
"21",-0.0843867522671429
"22",0.0073431326467057
"23",0.0257112782931148
"24",0.0634511231940798
"25",0.0526636375846349
"26",0.0596414737446908
"27",0.114619810809957
"28",0.00304239823192746
"29",-0.0604945858490295
"30",-0.0143510874298163
"31",-0.0654518098689592
"32",-0.0556805365689076
"33",-0.0208058737450554
"34",-0.0517175694334044
"35",-0.023367355344749
"36",-0.003495528854941
"37",-0.0449708444497662
"38",-0.0123553583179308
"39",-0.14461005556722
"40",-0.134057502481501
"41",-0.135761272153944
"42",-0.0871242011908996
"43",-0.0807433984342172
"44",-0.158649399074297
"45",-0.022574821809207
"46",-0.0254329233812944
"47",-0.0669075409970663
"48",-0.0746790021391273
"49",-0.0468540640451285
"50",-0.0649652787413114
"51",-0.0773823454090849
"52",-0.115605561366261
"53",-0.0931109121656483
"54",-0.113431767897089
"55",-0.147946620124819
"56",-0.0960200017772316
"57",-0.123341465397769
"58",-0.0987622065205858
"59",-0.109912324784538
"60",-0.0725893015733651
"61",-0.0222314138658346
"62",0.000178935074837305
"63",-0.0609156206486581
"64",-0.0332340034921138
"65",-0.0583632064231506
"66",-0.012243423068466
"67",-0.00374354375075319
"68",0.0274415088042663
"69",0.0269311420578714
"70",0.024551643244231
"71",-0.0311368499795598
"72",-0.0557191833808756
"73",-0.0568143411624349
"74",-0.0324761000478495
"75",0.0477749023231309
"76",0.0370649350637214
"77",0.0253040218552702
"78",0.00608284574694207
"79",0.0560775086055419
"80",0.0617238455365134
"81",0.0400009553742995
"82",0.0571141226819401
"83",0.0279278265413575
"84",0.0775914156230132
"85",0.0558170880889775
"86",0.0937290302133729
"87",-0.0291127649154567
"88",0.0822729476313032
"89",0.0750426731381369
"90",-0.0194800397061928
"91",-0.0190552137478626
"92",0.106122938135769
"93",-0.0528582701984428
"94",0.0193760303929852
"95",-0.0266068371813458
"96",-0.0717127962244115
