"","mean","0.025quant","0.975quant"
"as.factor(x1)1",0.977923354170341,0.903062551929871,1.05890950745872
"as.factor(x2)1",0.588509778093446,0.258571799372201,1.32805720532305
"as.factor(x3)0.5",1.07832395644987,1.05116782789361,1.10618312923913
"as.factor(x3)1",1.07946958357035,1.05477263960211,1.10475720991793
"as.factor(x3)2",1.09092612848057,0.983040461269058,1.21056329281702
"as.factor(x3)3",1.04418210151299,1.00968102674974,1.07986524978257
"x4",1.00777615279168,0.98730377409229,1.02865383696828
"x5",0.995024422953365,0.984593271054904,1.00555499787485
"x6",0.993378685349237,0.982294042392955,1.00457687034024
"x7",1.01387221968216,0.996585455703883,1.03144296347727
