"","mean","0.025quant","0.975quant"
"as.factor(x1)1",1.01894099679693,0.758936696749234,1.36753299243456
"as.factor(x2)1",0.587107448812828,0.29416625318034,1.16482199593275
"as.factor(x3)0.5",0.99563578846305,0.97809599643116,1.01347443671875
"as.factor(x3)1",1.00181537558252,0.986593614981808,1.01725664319866
"x4",1.00145009498116,0.906960790105517,1.10565086090665
"x5",0.999334326120465,0.940113333345642,1.06220732932981
"x6",1.00194803498281,0.94554062456858,1.06164600930159
"x7",1.00022171539767,0.975940445038628,1.02507659776651
