"","mean","0.025quant","0.975quant"
"as.factor(x1)1",0.982190630009393,0.9117091201423,1.05804333313927
"as.factor(x2)1",0.916000973828166,0.645444965526054,1.29949101998002
"as.factor(x3)0.5",1.03837523173132,1.03262860812733,1.04415030177272
"as.factor(x3)1",1.08061374564058,1.07516327808659,1.08608904910045
"as.factor(x3)2",1.05684150499401,0.960814517063196,1.16235778940548
"as.factor(x3)3",1.02681593715785,1.01924312528805,1.03444030692478
"x4",1.00623184269975,0.987107664579407,1.02570714800697
"x5",0.997033237898914,0.987255270707498,1.0068982632163
"x6",0.99486308175336,0.984480718204195,1.00534453941438
"x7",1.01060534615492,0.99448201460446,1.02697383245537
