"","x"
"1",0.0537477394443203
"2",0.0928482129784341
"3",0.0406185288200806
"4",0.0372541448536427
"5",0.0592739506823855
"6",0.0785125210482701
"7",0.0534638269932595
"8",0.0840222445970928
"9",0.067478024664042
"10",0.0495494901823602
"11",0.00890836260661713
"12",0.0572882426489733
"13",-0.0292074393854085
"14",0.0307071978650775
"15",0.0250541964391988
"16",-0.0679600050662655
"17",-0.0678610005314433
"18",-0.0172969556344277
"19",-0.0360843477463505
"20",-0.0544584783667294
"21",-0.0117773522967165
"22",-0.0721270338266937
"23",-0.0282923693331742
"24",-0.0559572236931987
"25",-0.0403324313419313
"26",-0.0122090850178202
"27",-0.0864797159050847
"28",-0.0699365326770946
"29",-0.072333547009994
"30",-0.0632215514055286
"31",-0.0735399861430708
"32",-0.0614862410069831
"33",-0.0652186880089797
"34",-0.0638240295566318
"35",-0.0675342845500089
"36",-0.0853009123812102
"37",-0.120937577805769
"38",-0.0913276706791728
"39",-0.119368949504187
"40",-0.0787021367654626
"41",-0.104338356971509
"42",-0.0695609471964959
"43",-0.000155996700154674
"44",-0.0255187052199003
"45",-0.0235155325476465
"46",-0.0269411917196677
"47",-0.000284132456279868
"48",0.00192506132123102
"49",-0.0340072370605874
"50",0.0173641428977332
"51",-0.0170829407025295
"52",-0.0735201769728474
"53",0.0231976337234411
"54",0.027505595248766
"55",-0.0186211807698712
"56",-0.028934909632085
"57",-0.0362561323473141
"58",-0.00484666997117574
"59",-0.0261045191511066
"60",-0.0300260195547984
"61",-0.0181003704326347
"62",0.00833389504243921
"63",-0.0182663377042188
"64",0.00316997546298316
"65",0.00791442097851574
"66",0.00530574141058431
"67",-0.0177755638421623
"68",0.0451281738103861
"69",0.0264622321888173
"70",0.034221284203895
"71",0.0402890403043489
"72",0.0259771959653792
"73",0.0515703158511812
"74",0.0452416030106755
"75",0.0418617155370657
"76",0.0384383583060197
"77",0.0655855924426418
"78",0.0396331540321668
"79",0.0196055127079675
"80",-0.0199989876540876
"81",0.0269530757927678
"82",-0.0238986799275112
"83",-0.0011400019109221
"84",-0.0167257351585892
"85",-0.0410345421248817
"86",-0.0381980279539517
"87",-0.0570634294816598
"88",-0.023802892424773
"89",-0.0302102906153484
"90",-0.0421264205530811
"91",-0.0731067549805551
"92",-0.0511078625000652
"93",0.00222768071309597
"94",-0.0388303586810574
"95",-0.0358791464259326
"96",-0.031940166671723
"97",-0.00741236657590814
"98",0.00139776369350773
"99",-0.00729907630327749
"100",0.00369621261880668
"101",0.0112507308799713
"102",-0.0647418835401365
"103",-0.0596195727439941
"104",-0.0331973034245847
"105",-0.0440124711721544
"106",-0.059972574121373
"107",-0.0685990976897907
"108",-0.0842089812549731
"109",-0.0848413974993887
"110",-0.0865164669264666
"111",-0.0692831012880463
"112",-0.0656119661591888
"113",-0.0147124318262491
"114",-0.0305524000983111
"115",-0.00288511563727454
"116",-0.0242427616538745
"117",-0.0149375752897263
"118",-0.0222871686658163
"119",0.0291343622779505
"120",0.0288010154482013
"121",0.0526550340373611
"122",-0.0167572881076328
"123",-0.00309681027573155
"124",-0.0661347195843567
"125",-0.0466511136859607
"126",-0.0200372582606835
"127",-0.0364724877545493
"128",-0.0273775611542666
"129",-0.0580738019712622
"130",-0.0304366116747598
"131",-0.0122807789919856
"132",0.0407256692028051
"133",0.0433375655104455
"134",0.0597395714104179
"135",0.0958387292919071
"136",0.073912447871008
"137",0.0675850848380222
"138",0.0643138498856114
"139",0.104860346483757
"140",0.0683359795562575
"141",0.124500038461633
"142",0.0723322286477458
"143",0.0944872880299316
"144",0.0751308971899913
"145",0.0814865639536397
"146",0.0901426944882995
"147",0.0557083811178656
"148",0.0876172032667654
"149",0.104686924326913
"150",0.100425505305632
"151",0.0736228892936799
"152",0.0900905102431649
"153",0.0601436494948496
"154",0.0301981397378713
"155",0.0553324539179114
"156",0.0426208393542529
"157",0.0580426710339956
"158",0.0434074421668878
"159",0.0341652267726128
"160",0.0834859691801987
"161",0.0963915736669341
"162",0.0588212194571081
"163",0.0950976628756885
"164",0.084522515618087
