"","x"
"1",-0.18473921510856
"2",-0.169195033487406
"3",-0.184628293401212
"4",-0.153037884486416
"5",-0.205978122430023
"6",-0.194348635184675
"7",-0.186340979963052
"8",-0.150084222312446
"9",-0.155186549435265
"10",-0.112663335470779
"11",-0.183262226890623
"12",-0.180739106838177
"13",-0.190326738010954
"14",-0.159656839536193
"15",-0.201547993380475
"16",0.153294174805666
"17",0.133037802320468
"18",0.100678187512386
"19",0.131603365895157
"20",0.145924826150197
"21",0.142924915436083
"22",0.22218092844707
"23",0.179829315681829
"24",0.186783987728266
"25",0.190753742472632
"26",0.188963702414192
"27",0.215518047369572
"28",0.177044050809261
"29",0.207060777739096
"30",0.19487214749095
"31",0.179192484275569
"32",0.160709050232962
"33",0.192133062153845
"34",0.240380115160487
"35",0.230259465517416
"36",0.216613174007352
"37",0.21190725602392
"38",0.198184166987083
"39",0.183664409367665
"40",0.248043299252262
"41",0.212327293600192
"42",0.184926751125827
"43",0.180920583795859
"44",0.187209469742934
"45",0.201165286771105
"46",0.20799134167389
"47",0.181627912609825
"48",0.156391446235513
"49",0.182269146617875
"50",0.198795703097304
"51",0.237590682570974
"52",0.117389572394178
"53",0.141599760315289
"54",0.14513682742734
"55",0.154406315697088
"56",0.197678899524805
"57",0.153033504038548
"58",0.142626604832579
"59",0.118359820917635
"60",0.106308491918717
"61",0.0924498755931444
"62",0.0713924098515481
"63",0.0680904877011388
"64",0.0465734306789381
"65",0.0673926917474944
"66",0.0412722090641718
"67",0.0371415619074505
"68",0.00630062506743191
"69",0.0154600163848884
"70",-0.000645468818009081
"71",0.00318845354960633
"72",-0.0028000841682058
"73",-0.0274938790323734
"74",-0.0302302586919426
"75",-0.0551563338769554
"76",-0.067922733234113
"77",-0.076397595089377
"78",-0.0841142151753194
"79",-0.100742244254616
"80",-0.0864662272920824
"81",-0.0953244702283461
"82",-0.0870984675983286
"83",-0.0920601114057143
"84",-0.100056206334817
"85",-0.106093340543097
"86",-0.110637668116305
"87",-0.146627321873216
"88",-0.130101320168017
"89",-0.113672949474561
"90",-0.135690392293978
"91",-0.108725061075811
"92",-0.118272521574127
"93",-0.136062085511328
"94",-0.129615852526948
"95",-0.180681072499429
"96",-0.184108460658562
"97",-0.18681364098553
"98",-0.158685434025433
"99",-0.170404651503173
"100",-0.124515384005391
"101",-0.0888875867766885
"102",-0.145482167352541
"103",-0.114469035675876
"104",-0.144245038780687
"105",-0.124258184140288
"106",-0.0805282652933255
"107",-0.135566819863308
"108",-0.124153986370399
"109",-0.122862928720266
"110",-0.116753660707163
"111",-0.135719505544901
"112",-0.133014457275459
"113",-0.0920772079501328
"114",-0.0962496478005873
"115",-0.0995598303052779
"116",-0.074321809177796
"117",-0.0752870180531922
"118",-0.0754131930367835
"119",-0.0852546324193898
"120",-0.0768022394203154
"121",-0.0880686749415691
"122",-0.0718940809737967
"123",-0.0717007303080959
"124",-0.0842443962412005
"125",-0.052640274937782
"126",-0.0689401907519879
"127",0.0176482421374482
"128",0.00951674170809409
"129",0.00934877963362811
"130",0.0121542397194544
"131",0.0234722699142738
"132",0.0335723117708381
"133",0.0372731452559212
"134",-0.00817469402384792
"135",0.0113134408438928
"136",-0.0385779895426321
"137",-0.0211474169264682
"138",-0.0346699243402641
"139",-0.00889871054453805
"140",-0.0149385107428178
"141",0.0198748779892251
"142",0.0256098538739745
"143",0.0385365283379691
"144",0.0644336519481569
"145",0.0424083929253185
"146",0.0719754710557556
"147",0.155009537299118
"148",0.16140365042097
"149",0.163167854253197
"150",0.162066155250239
"151",0.190110671992049
"152",0.177566726053606
"153",0.213446586957429
"154",0.214319455414565
"155",0.201179509972452
"156",0.176189504733957
"157",0.149385474130852
"158",0.0912893894785407
"159",0.0838848588867819
"160",0.0817425130420389
"161",0.12655285860516
"162",0.115977185080203
"163",0.113107596655139
"164",0.0900938793948343
"165",0.103803770484766
"166",0.0913174683384333
"167",0.0930383598177555
"168",0.118321174240299
"169",0.0787479626009993
"170",0.100966892871787
"171",0.0938929002581626
"172",0.109611837166109
"173",0.103306845614275
"174",0.156690040569366
"175",0.0929981060692106
"176",0.11159989046107
"177",0.00103283200629759
"178",-0.0292550771782307
"179",-0.0245465882678569
"180",-0.0610012754066616
"181",-0.0321685294946009
"182",-0.0544645392041453
"183",-0.00383732181002607
"184",-0.021337456101839
"185",-0.0319453971437161
"186",0.00258246655584546
"187",0.0392438706843661
"188",0.0428695665495542
"189",0.0625377217442957
"190",0.0582843692650354
"191",0.0661346556394117
"192",0.0855029804471032
"193",0.073195574634697
"194",0.0742312058882894
"195",0.0460648267667766
"196",0.0460064044084447
"197",0.0513518049488466
"198",0.065992901510202
"199",0.0764316924512582
"200",0.0703057904119881
"201",0.103769583734776
"202",0.114852711646807
"203",0.102192594401334
"204",0.106302137814548
"205",0.157580281240013
"206",0.159732324377085
"207",0.171085668383981
"208",0.146520771257672
"209",0.106892955834198
"210",0.169740607885481
"211",0.141091272227939
"212",0.127664325750359
"213",0.168717549006811
"214",0.204775108275834
"215",0.191985095702359
"216",0.156498071638074
"217",0.154252260330711
"218",0.137036516236217
"219",0.133710343383442
"220",0.187519556355649
"221",0.144603217579067
"222",0.157164850182797
"223",0.0966382749327684
"224",0.070018639042772
"225",0.061956018569146
"226",0.0821503366729281
"227",0.0928694514369499
"228",0.0969256308533477
"229",0.0986010511752155
"230",0.121711753323651
"231",0.110470645260255
"232",0.148102058318661
"233",0.151565619371244
"234",0.148907188596568
"235",0.154166927937757
"236",0.174508450888334
"237",0.153810730557969
"238",0.119265339911027
"239",0.126723851073035
"240",0.115229701787055
"241",0.065665379299338
"242",0.0897956645531182
"243",0.0543013773197614
"244",0.07659713133598
"245",0.0880279748459392
"246",0.10122901458039
"247",0.0707129134251689
"248",0.0581355619420266
"249",0.0348219090422629
"250",0.0743445026786856
"251",0.0847154267983574
"252",0.0814547236971484
"253",0.117577476480605
"254",0.12316058377633
"255",0.124188971329234
"256",0.0994600928255748
"257",0.128185855735204
"258",0.108592540742697
"259",0.111448797409779
"260",0.118713400158814
"261",0.100619870161458
"262",0.0784242190108619
"263",0.0851528784215065
"264",0.0748017613878094
"265",0.113132444897702
"266",0.0875893671482871
"267",0.0868962176390809
"268",0.094049351147549
"269",0.0672649403582175
"270",0.0680202705520289
"271",0.0553202060622274
"272",0.018524085368192
"273",0.0135099869696689
"274",0.0272192014563528
"275",-0.0285880729776706
"276",0.00608920540676154
"277",-0.0221967796125297
"278",-0.00896290022475367
"279",-0.016042641404949
"280",-0.00648636885603389
"281",-0.0628552106975612
