"","mean","0.025quant","0.975quant"
"as.factor(x1)1",0.984301888399789,0.92719485452369,1.04487275738916
"as.factor(x2)1",1.15268739904356,0.812959090516784,1.63383013872415
"as.factor(x3)0.5",0.633078105424488,0.626966388874043,0.639243804473051
"as.factor(x3)1",0.70441537432258,0.698165912461739,0.710715023688909
"as.factor(x3)2",0.679248868233412,0.629341771795697,0.733065822436311
"as.factor(x3)3",0.463247296982066,0.449835351020091,0.477001813222701
"x4",1.01406934514722,0.995480403693573,1.03298882538922
"x5",0.996370222603604,0.987957088220549,1.00484782720452
"x6",0.987596315707069,0.978650803044294,0.996615991173431
"x7",0.999934184530726,0.997756954674336,1.00211432444166
