"","x"
"1",0.14489299452535
"2",0.532628114585118
"3",0.742597606906537
"4",1.56358047150343
"5",-0.674943582863233
"6",1.04998562308846
"7",0.422357000055465
"8",0.0633619882583766
"9",0.386470687521385
"10",-0.017447242591954
"11",0.0411165082687681
"12",-0.131352501662948
"13",-0.876273264775661
"14",-0.143680405368081
"15",-0.327781762195047
"16",0.0292050087203115
"17",-0.395769974520122
"18",-0.105438669286892
"19",-0.0678612221913153
"20",-0.314870245777092
"21",-0.152179086873167
"22",1.52024761824401
"23",1.68942661954624
"24",0.588190753969953
"25",0.210058871445221
"26",0.391025185922443
"27",0.155775819516274
"28",-1.64157247863904
"29",-0.858581541330598
"30",-0.381161931910256
"31",-0.267630638284153
"32",0.664831048333478
"33",-0.0202901965890343
"34",-0.874425786781466
"35",-0.576311954196256
"36",-0.707139459850593
"37",-0.117672521685801
"38",0.863372087995195
"39",-0.267828284661533
"40",-1.04085209693331
"41",0.388044174444686
"42",1.53244705358823
"43",0.411045173946058
"44",0.894206610698855
"45",2.3224530566235
"46",1.76630308782807
"47",1.35107736915524
"48",0.948252827872224
"49",0.495204408597256
"50",-0.860742499575373
"51",-0.633250686801467
"52",-0.723463985201665
"53",-0.142191442013666
"54",-0.674713898650034
"55",0.0815608076632463
"56",-0.111670123690507
"57",-0.38274686614612
"58",-1.36695540868622
"59",-0.873004152195526
"60",0.51308479435307
"61",0.285630385532613
"62",-0.426548232095626
"63",-1.75690452741829
"64",-1.4129918426758
"65",-1.3844355323299
"66",-0.223687351210472
"67",0.0169008014650659
"68",-1.04589128390363
"69",-0.611346816623122
"70",0.00494131535325078
"71",0.809361652648539
"72",0.709348952594625
"73",1.32708171343575
"74",-0.747039865204577
"75",-1.34747532885143
"76",-0.954465224045876
"77",0.664048294227645
"78",0.133505579646641
"79",-0.0675430310452709
